# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/athena/angsd/scratch/jiq4001/Pj//hg38.refGene.gtf" "-o" "/athena/angsd/scratch/jiq4001/Pj1/reads_count/featCounts_transcript_all.txt" "--minOverlap" "25" "-t" "transcript" "-g" "gene_id" "--primary" "--tmpDir" "/scratchLocal" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244251.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244252.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244253.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244254.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244255.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244256.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244251.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244252.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244253.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244254.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244255.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244256.Aligned.sortedByCoord.out.bam
TRIM14	chr9;chr9	98084353;98084353	98119222;98119222	-;-	34870	2552	2159	2339	7437	7243	6773
ARHGEF17	chr11	73308276	73369388	+	61113	1978	2085	1649	1514	1564	1336
ARHGEF11	chr1;chr1	156934840;156934840	157045742;157045742	-;-	110903	11686	11083	9362	9356	9743	9269
LOC102724450	chr1	6204840	6205780	-	941	73	58	57	52	64	83
AIFM3	chr22;chr22;chr22;chr22	20965172;20965172;20967255;20967255	20981358;20981358;20981358;20981358	+;+;+;+	16187	311	265	219	191	224	190
IL24	chr1;chr1;chr1;chr1	206897443;206897443;206897443;206897443	206904139;206904139;206904139;206904139	+;+;+;+	6697	18	4	18	6	0	4
SGCZ	chr8;chr8;chr8;chr8	14084845;14084845;14084845;14084845	15238431;15238431;15238431;15238431	-;-;-;-	1153587	210	142	158	184	148	158
DMTN	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	22048931;22048931;22053555;22054907;22054907;22054907;22054907;22054907;22054907;22054907;22054907;22054907;22054907;22054907;22054907;22054907;22056814;22056814;22056814;22056814;22057864;22057864;22059080;22059080;22059080;22059080;22059080;22059080;22066516;22066516;22066516	22082525;22082525;22082527;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525;22082525	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	33597	3924	4022	3180	3069	3089	2982
CYTL1	chr4	5014586	5019458	-	4873	0	0	0	4	0	0
KCNJ16	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	70075225;70075225;70075225;70075225;70104845;70104845;70104845;70104845	70135605;70135605;70135605;70135605;70135605;70135605;70135605;70135605	+;+;+;+;+;+;+;+	60381	3134	2038	2116	2392	3012	2578
LENEP	chr1	154993586	154994321	+	736	78	52	67	33	70	67
MIR4252	chr1	6429834	6429896	-	63	0	0	0	0	0	0
ZNF398	chr7;chr7	149126408;149147453	149183026;149183026	+;+	56619	3865	3868	3299	3341	3592	3221
PNISR	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	99398050;99398050;99398050;99398050;99398050;99398050;99398050;99398051;99398051;99398051;99398051;99398051;99409346;99409346;99409346	99425308;99425308;99425308;99425308;99425308;99425308;99425308;99425345;99425345;99425345;99425345;99425345;99425308;99425308;99425308	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	27296	9111	8056	7205	6855	8118	7126
ALPK3	chr15	84817356	84873477	+	56122	886	863	679	782	821	746
ALKBH6	chr19;chr19;chr19	36009120;36009120;36009121	36014213;36014239;36014239	-;-;-	5120	770	944	744	672	705	680
CTNND1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802;57761802	57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540;57819540	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	57739	61	69	65	55	50	58
BCL2L13	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17638584;17638584;17638584;17638584;17638584;17638584;17638584;17638584;17638584;17638584;17638757;17655662;17655662;17706658	17730855;17730855;17703784;17730855;17730855;17730855;17730855;17730855;17730855;17730855;17730855;17730855;17730855;17730855	+;+;+;+;+;+;+;+;+;+;+;+;+;+	92272	7433	7102	6159	6625	7202	6798
DMD	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119226;31119226;31119226;31119226;31119226;31119226;31119226;31119226;31119226;31119228;31119228;31119228;31119228;31119228;31119228;31119228;31178195	32155469;32412228;31266954;31266954;31266954;32412228;33339388;32155469;31266954;32155469;33128428;32155469;33128427;33211556;31508298;32155469;31266954	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2220163	462	402	308	362	426	354
MUC4	chr3;chr3;chr3;chr3;chr3_KI270936v1_alt;chr3_KI270936v1_alt;chr3_KI270936v1_alt;chr3_KI270936v1_alt;chr3_KI270779v1_alt;chr3_KI270779v1_alt;chr3_KI270779v1_alt;chr3_KI270779v1_alt;chr3_KI270934v1_alt;chr3_KI270934v1_alt;chr3_KI270934v1_alt;chr3_KI270934v1_alt;chr3_KI270924v1_alt;chr3_KI270924v1_alt;chr3_KI270924v1_alt;chr3_KI270924v1_alt;chr3_KI270935v1_alt;chr3_KI270935v1_alt;chr3_KI270935v1_alt;chr3_KI270935v1_alt;chr3_KI270937v1_alt;chr3_KI270937v1_alt;chr3_KI270937v1_alt;chr3_KI270937v1_alt;chr3_KI270895v1_alt;chr3_KI270895v1_alt;chr3_KI270895v1_alt;chr3_KI270895v1_alt	195746766;195746771;195746771;195746771;3235;3235;16277;20426;117264;117268;117268;117268;3235;3235;16277;20426;3235;3235;16280;20312;117264;117268;117268;117268;3235;3235;16277;20426;3235;3235;16277;20426	195811973;195811929;195811929;195811929;47963;47967;47963;47963;189793;189749;189749;189749;47967;47963;47963;47963;49264;49268;49264;49264;181832;181788;181788;181788;47969;47965;47965;47965;47969;47965;47965;47965	-;-;-;-;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;+	427277	92	93	57	92	63	86
FSCN2	chr17;chr17	81528377;81528377	81537130;81537130	+;+	8754	780	861	574	481	642	544
EIF4G1	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	184314495;184314606;184314606;184314606;184314606;184314606;184315164;184320263	184335358;184335353;184335353;184335353;184335353;184335353;184335358;184335353	+;+;+;+;+;+;+;+	20864	23721	23903	20192	18541	18732	17206
PPP2R5E	chr14;chr14;chr14;chr14;chr14;chr14;chr14	63371356;63371364;63371364;63371364;63371364;63371364;63451270	63508238;63543377;63543377;63543377;63508238;63543377;63543395	-;-;-;-;-;-;-	172040	17689	14863	14316	13618	14702	12973
NAA16	chr13;chr13;chr13	41311267;41311267;41311267	41358718;41358718;41377030	+;+;+	65764	4545	3918	3822	3466	4124	3529
KIR2DS2	chr19;chr19;chr19;chr19;chr19;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_KI270931v1_alt;chr19_KI270931v1_alt;chr19_KI270931v1_alt;chr19_KI270931v1_alt;chr19_KI270931v1_alt;chr19_KV575256v1_alt;chr19_KV575256v1_alt;chr19_KV575256v1_alt;chr19_KV575256v1_alt;chr19_KV575256v1_alt;chr19_KV575246v1_alt;chr19_KV575246v1_alt;chr19_KV575246v1_alt;chr19_KV575246v1_alt;chr19_KV575246v1_alt;chr19_KI270918v1_alt;chr19_KI270918v1_alt;chr19_KI270918v1_alt;chr19_KI270918v1_alt;chr19_KI270918v1_alt;chr19_KI270917v1_alt;chr19_KI270917v1_alt;chr19_KI270917v1_alt;chr19_KI270917v1_alt;chr19_KI270917v1_alt;chr19_GL000209v2_alt;chr19_GL000209v2_alt;chr19_GL000209v2_alt;chr19_GL000209v2_alt;chr19_GL000209v2_alt;chr19_GL000209v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_KI270890v1_alt;chr19_KI270890v1_alt;chr19_KI270890v1_alt;chr19_KI270890v1_alt;chr19_KI270890v1_alt;chr19_KI270890v1_alt;chr19_KI270891v1_alt;chr19_KI270891v1_alt;chr19_KI270891v1_alt;chr19_KI270891v1_alt;chr19_KI270891v1_alt;chr19_KI270930v1_alt;chr19_KI270930v1_alt;chr19_KI270930v1_alt;chr19_KI270930v1_alt;chr19_KI270930v1_alt;chr19_KI270883v1_alt;chr19_KI270883v1_alt;chr19_KI270883v1_alt;chr19_KI270883v1_alt;chr19_KI270883v1_alt;chr19_KI270884v1_alt;chr19_KI270884v1_alt;chr19_KI270884v1_alt;chr19_KI270884v1_alt;chr19_KI270884v1_alt;chr19_KI270885v1_alt;chr19_KI270885v1_alt;chr19_KI270885v1_alt;chr19_KI270885v1_alt;chr19_KI270885v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270920v1_alt;chr19_KI270920v1_alt;chr19_KI270920v1_alt;chr19_KI270920v1_alt;chr19_KI270920v1_alt;chr19_KV575253v1_alt;chr19_KV575253v1_alt;chr19_KV575253v1_alt;chr19_KV575253v1_alt;chr19_KV575253v1_alt;chr19_KI270914v1_alt;chr19_KI270914v1_alt;chr19_KI270914v1_alt;chr19_KI270914v1_alt;chr19_KI270914v1_alt;chr19_KI270915v1_alt;chr19_KI270915v1_alt;chr19_KI270915v1_alt;chr19_KI270915v1_alt;chr19_KI270915v1_alt;chr19_KI270916v1_alt;chr19_KI270916v1_alt;chr19_KI270916v1_alt;chr19_KI270916v1_alt;chr19_KI270916v1_alt;chr19_KI270916v1_alt;chr19_KI270923v1_alt;chr19_KI270923v1_alt;chr19_KI270923v1_alt;chr19_KI270923v1_alt;chr19_KI270923v1_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_KI270921v1_alt;chr19_KI270921v1_alt;chr19_KI270921v1_alt;chr19_KI270921v1_alt;chr19_KI270921v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KI270886v1_alt;chr19_KI270886v1_alt;chr19_KI270886v1_alt;chr19_KI270886v1_alt;chr19_KI270886v1_alt;chr19_KI270887v1_alt;chr19_KI270887v1_alt;chr19_KI270887v1_alt;chr19_KI270887v1_alt;chr19_KI270887v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_KV575257v1_alt;chr19_KV575257v1_alt;chr19_KV575257v1_alt;chr19_KV575257v1_alt;chr19_KV575257v1_alt;chr19_KV575258v1_alt;chr19_KV575258v1_alt;chr19_KV575258v1_alt;chr19_KV575258v1_alt;chr19_KV575258v1_alt;chr19_KV575259v1_alt;chr19_KV575259v1_alt;chr19_KV575259v1_alt;chr19_KV575259v1_alt;chr19_KV575259v1_alt;chr19_KV575260v1_alt;chr19_KV575260v1_alt;chr19_KV575260v1_alt;chr19_KV575260v1_alt;chr19_KV575260v1_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_KI270922v1_alt;chr19_KI270922v1_alt;chr19_KI270922v1_alt;chr19_KI270922v1_alt;chr19_KI270922v1_alt;chr19_KV575250v1_alt;chr19_KV575250v1_alt;chr19_KV575250v1_alt;chr19_KV575250v1_alt;chr19_KV575250v1_alt;chr19_KI270929v1_alt;chr19_KI270929v1_alt;chr19_KI270929v1_alt;chr19_KI270929v1_alt;chr19_KI270929v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_KI270882v1_alt;chr19_KI270882v1_alt;chr19_KI270882v1_alt;chr19_KI270882v1_alt;chr19_KI270882v1_alt;chr19_KI270882v1_alt;chr19_KV575251v1_alt;chr19_KV575251v1_alt;chr19_KV575251v1_alt;chr19_KV575251v1_alt;chr19_KV575251v1_alt;chr19_KV575252v1_alt;chr19_KV575252v1_alt;chr19_KV575252v1_alt;chr19_KV575252v1_alt;chr19_KV575252v1_alt;chr19_KI270933v1_alt;chr19_KI270933v1_alt;chr19_KI270933v1_alt;chr19_KI270933v1_alt;chr19_KI270933v1_alt;chr19_KI270932v1_alt;chr19_KI270932v1_alt;chr19_KI270932v1_alt;chr19_KI270932v1_alt;chr19_KI270932v1_alt;chr19_KI270888v1_alt;chr19_KI270888v1_alt;chr19_KI270888v1_alt;chr19_KI270888v1_alt;chr19_KI270888v1_alt;chr19_KI270889v1_alt;chr19_KI270889v1_alt;chr19_KI270889v1_alt;chr19_KI270889v1_alt;chr19_KI270889v1_alt;chr19_KV575254v1_alt;chr19_KV575254v1_alt;chr19_KV575254v1_alt;chr19_KV575254v1_alt;chr19_KV575254v1_alt;chr19_KV575248v1_alt;chr19_KV575248v1_alt;chr19_KV575248v1_alt;chr19_KV575248v1_alt;chr19_KV575248v1_alt;chr19_KV575247v1_alt;chr19_KV575247v1_alt;chr19_KV575247v1_alt;chr19_KV575247v1_alt;chr19_KV575247v1_alt;chr19_KI270919v1_alt;chr19_KI270919v1_alt;chr19_KI270919v1_alt;chr19_KI270919v1_alt;chr19_KI270919v1_alt;chr19_KV575255v1_alt;chr19_KV575255v1_alt;chr19_KV575255v1_alt;chr19_KV575255v1_alt;chr19_KV575255v1_alt	54738511;54738511;54738511;54738511;54738511;464552;464552;464552;464552;464552;480734;827256;827256;827256;827256;827256;819633;819633;819633;821350;824789;20849;20849;20849;20849;20849;26089;26089;26089;26089;26089;40140;40140;40140;40140;40140;40097;40097;40097;40097;40097;17433;17433;17433;17433;17433;122955;122955;122955;122955;122955;139465;404178;479336;479336;479336;479336;130021;130021;130021;130021;130021;146532;20490;20490;20490;20490;20490;20494;20494;20494;20494;20494;20243;20243;20243;20243;20243;102583;102583;102583;102583;102583;20785;20785;20785;20785;20785;721090;721090;721090;721090;721090;22625;22906;25316;25316;25316;40097;40097;40097;40097;40097;150766;150766;150766;150766;150766;20476;20476;20476;20476;20476;130109;130109;130109;130109;130109;146565;29492;29492;29492;29492;29492;721225;721225;721225;721225;721225;37049;37049;37049;37049;37049;40099;40099;40099;40099;40099;149814;149814;149814;149814;149814;32639;32639;32639;32639;171770;644156;644156;644156;644156;644156;40116;40116;40116;40116;56578;124734;124734;124734;124734;124734;40131;40131;40131;40131;40131;40116;40116;40116;40116;40116;718658;721349;721349;721349;721349;14446;14446;14446;14446;14446;40132;40132;40132;40132;40132;12686;12686;12686;12686;12686;642860;642860;642860;642860;642860;26964;194387;194387;194387;194387;194387;40099;40099;40099;40099;40099;40113;40113;40113;40113;40113;20491;20491;20491;20491;20491;161263;161263;161263;161263;161263;101103;101103;101103;101103;101103;20476;20476;20476;20476;20476;37407;40098;40098;40098;40098;40105;40105;40105;40105;40105;40132;40132;40132;40132;40132;20512;20512;20512;20512;20512;40133;40133;40133;40133;40133	54848566;54848566;54848566;54848566;54848566;478864;478864;478864;478864;478864;495274;856415;856415;856415;856415;856415;830488;830488;830488;830488;830488;130054;130054;130054;130054;130054;40402;40402;40402;40402;40402;150009;150009;150009;150009;150009;69458;69458;69458;54629;69458;127534;127534;127534;127534;127534;137265;137265;137265;137265;137265;139823;493822;493822;493822;493822;493822;144333;144333;144333;144333;144333;146890;130585;130585;130585;130585;130585;160624;160624;160624;160624;160624;130309;130309;130309;130309;130309;116894;116894;116894;116894;116894;130889;130889;130889;130889;130889;831135;831135;831135;831135;831135;23437;23521;134584;134584;134584;150165;150165;150165;150165;150165;165077;165077;165077;165077;165077;130562;130562;130562;130562;130562;144421;144421;144421;144421;144421;146954;43805;43805;43805;43805;43805;735537;735537;735537;735537;735537;51360;51360;51360;51360;51360;282974;282974;282974;282974;282974;164125;164125;164125;164125;164125;169893;169893;169893;169893;172301;673538;673538;673538;673538;673538;54642;54642;54642;54642;69478;139045;139045;139045;139045;139045;150193;150193;150193;150193;150193;54428;54428;54428;54428;54428;719470;767138;767138;767138;767138;124509;124509;124509;124509;124509;177624;177624;177624;177624;177624;122800;122800;122800;122800;122800;752957;752957;752957;752957;752957;192517;208698;208698;208698;208698;208698;150217;150217;150217;150217;150217;149162;149162;149162;149162;149162;130398;130398;130398;130398;130398;175574;175574;175574;175574;175574;115415;115415;115415;115415;115415;130567;130567;130567;130567;130567;38219;85890;85890;85890;85890;150203;150203;150203;150203;150203;150209;150209;150209;150209;150209;130567;130567;130567;130567;130567;150203;150203;150203;150203;150203	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+	3907217	0	0	0	0	0	0
GPS2	chr17	7312661	7315360	-	2700	1925	1854	1550	1492	1495	1361
THAP3	chr1;chr1;chr1	6624865;6625150;6625150	6633582;6633582;6635586	+;+;+	10722	368	480	325	331	370	254
DLC1	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix	13083361;13083361;13083361;13083361;13083361;13083361;13083363;13083363;13304577;6278952;6278952;6278952;6278952;6278952;6278952;6278954;6278954	13604620;13604620;13133289;13276521;13133289;13514851;13276784;13116244;13514851;6311242;6328913;6311243;6311242;6311242;6328913;6311828;6311243	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	571222	4072	3736	3260	3275	3551	3276
CAMTA1-DT	chr1	6783892	6784980	-	1089	23	27	9	28	17	20
SORBS1	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	95311773;95311773;95311773;95311773;95311773;95311773;95311773;95311773;95311773;95311773;95311773;95311773	95441180;95441180;95441180;95441180;95561371;95441180;95441180;95561371;95561371;95441180;95441180;95561371	-;-;-;-;-;-;-;-;-;-;-;-	249599	882	770	620	674	708	668
STK31	chr7;chr7;chr7;chr7;chr7	23710219;23710219;23710219;23710219;23710219	23832511;23832511;23832511;23832511;23832511	+;+;+;+;+	122293	224	214	261	210	216	224
CD160	chr1;chr1	145719499;145719499	145739288;145739288	+;+	19790	742	693	592	617	689	680
DUX4	chr4;chr4;chr4;chr4;chr4;chr4;chr4_KQ983258v1_alt;chr4_KQ983258v1_alt;chr4_KQ983258v1_alt;chr4_KQ983258v1_alt;chr4_KQ983258v1_alt;chr4_KQ983258v1_alt;chr4_KQ983257v1_fix;chr4_KQ983257v1_fix;chr4_KQ983257v1_fix;chr4_KQ983257v1_fix;chr4_KQ983257v1_fix;chr4_KQ983257v1_fix;chr4_KI270896v1_alt;chr4_KI270896v1_alt;chr4_KI270896v1_alt	190065229;190065229;190173774;190173774;190173774;190173774;167162;167162;170468;196916;196916;200222;167162;167162;170468;200222;200222;200222;358730;358730;358730	190066151;190065926;190175845;190175845;190185911;190175845;168672;168672;171978;203908;203908;205389;168672;168672;171978;202293;202293;211788;360196;360196;360196	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-	40613	10	24	14	6	15	16
ZNRD1	chr6;chr6;chr6;chr6;chr6;chr6_GL000252v2_alt;chr6_GL000252v2_alt;chr6_GL000252v2_alt;chr6_GL000252v2_alt;chr6_GL000252v2_alt;chr6_GL000254v2_alt;chr6_GL000254v2_alt;chr6_GL000254v2_alt;chr6_GL000254v2_alt;chr6_GL000254v2_alt;chr6_GL000251v2_alt;chr6_GL000251v2_alt;chr6_GL000251v2_alt;chr6_GL000251v2_alt;chr6_GL000251v2_alt;chr6_GL000253v2_alt;chr6_GL000253v2_alt;chr6_GL000253v2_alt;chr6_GL000253v2_alt;chr6_GL000253v2_alt;chr6_GL000255v2_alt;chr6_GL000255v2_alt;chr6_GL000255v2_alt;chr6_GL000255v2_alt;chr6_GL000255v2_alt;chr6_GL000256v2_alt;chr6_GL000256v2_alt;chr6_GL000256v2_alt;chr6_GL000256v2_alt;chr6_GL000256v2_alt;chr6_GL000250v2_alt;chr6_GL000250v2_alt;chr6_GL000250v2_alt;chr6_GL000250v2_alt;chr6_GL000250v2_alt	30061265;30061265;30061265;30061265;30061265;1317187;1317187;1317187;1317187;1317187;1405358;1405358;1405358;1405358;1405358;1541042;1541042;1541042;1541042;1541042;1322019;1322019;1322019;1322019;1322019;1316447;1316447;1316447;1316447;1316447;1360187;1360187;1360187;1360187;1360187;1319363;1319363;1319363;1319363;1319363	30064907;30064907;30064907;30064907;30064907;1320823;1320823;1320823;1320823;1320823;1408997;1408997;1408997;1408997;1408997;1544678;1544678;1544678;1544678;1544678;1325656;1325656;1325656;1325656;1325656;1320068;1320068;1320068;1320068;1320068;1363826;1363826;1363826;1363826;1363826;1322999;1322999;1322999;1322999;1322999	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	29094	172	202	146	148	158	180
